APN,Minority_Owned,Female_Owned,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
ZZZZZZZZZZZZZ,,,BL-013787,GENERAL CONTRACTOR,Construction or Contractor,LEFT COAST CONSTRUCTION,236118 - Residential Remodelers,C,0,Sole Ownership,,750 S L ST,,LIVERMORE,CA,94550-4439,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-014415,"REMODELING, REPAIRS",Construction or Contractor,TACOMA CONSTRUCTION INC,236118 - Residential Remodelers,C,3,Corporation,,664 ELISE AVE,,SAN LEANDRO,CA,94577,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,Yes,BL-026092,ART TEACHER,Professional SemiProfessional,ART-ON-SITE,611610 - Fine Arts Schools,P,0,Sole Ownership,ART-ON-SITE,1709 6TH ST,,BERKELEY,CA,94710-1805,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,No,No,BL-047779,GENERAL CONTRACTOR,Construction or Contractor,C L O CONSTRUCTION,236118 - Residential Remodelers,C,0,Sole Ownership,C L O CONSTRUCTION,494 WESTERN DR,,RICHMOND,CA,94801,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-004919,ENVIRONMENTAL CONSULTING & CONTRACTING,Professional SemiProfessional,CARDNO INC,541620 - Environmental Consulting Services,P,4,Corporation,CARDNO INC,120 S CENTRAK AVE STE 400,,CLAYTON,MO,63105,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, MO 94704"
,,,BL-000659,ROOFING,Construction or Contractor,BEN'S ROOFING INC,238160 - Roofing Contractors,C,4,Corporation,BEN'S ROOFING INC,40 HEGENBERGER PL,,OAKLAND,CA,94621-1302,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-002938,ROOFING CONTRACTOR,Construction or Contractor,CALDWELL-ROLAND ROOFING INC,238160 - Roofing Contractors,C,2,Corporation,,1707 POPLAR ST,,OAKLAND,CA,94607-1742,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-009968,REFUSE HAULER/NOT RECYCLING,Recycling,WASTE MANAGEMENT,,RC,0,Corporation,,8491 FRUITRIDGE RD,,SACRAMENTO,CA,95826-4807,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
057 209000800,,,BL-012510,CONSULTING ENGINEERING,Professional SemiProfessional,HN DEVELOPMENT LLC,541330 - Engineering Services,P,0,LLC,HN DEVELOPMENT LLC,1818 10TH ST,,BERKELEY,CA,947102107,Business Owner,1818 TENTH ST,BERKELEY,CA,94710,"1818 TENTH ST
BERKELEY, CA 94710
(37.870789, -122.293923)"
ZZZZZZZZZZZZZ,No,No,BL-041120,ROOFING CONTRACTOR,Construction or Contractor,D C TAYLOR CO,238310 - Drywall and Insulation Contractors,C,39,Corporation,,PO BOX 97,,CEDAR RAPIDS,IA,52406-0097,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, IA 94704"
,,,BL-009404,"INSTALL INSULATION, GUTTERS & GARAGE DOOR",Construction or Contractor,TRUTEAM OF CALIFORNIA,238990 - All Other Specialty Trade Contractors,C,3,Corporation,,475 N WILLIAMSON BLVD,,DAYTONA BEACH,FL,32114-7101,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, FL 94704"
053 169801100,,,BL-014907,GRAPHIC DESIGN,Professional SemiProfessional,ASCHWANDEN SOPHIE,541430 - Graphic Design Services,P,1,Sole Ownership,ASCHWANDEN SOPHIE,2826 KELSEY ST,,BERKELEY,CA,947052302,Business Owner,2826 KELSEY ST,BERKELEY,CA,94705,"2826 KELSEY ST
BERKELEY, CA 94705
(37.859053, -122.250073)"
,No,No,BL-040906,GENERAL CONTRACTOR,Construction or Contractor,ROSS MCDONALD COMPANY INC,238350 - Finish Carpentry Contractors,C,7,Corporation,,1154 STEALTH ST,,LIVERMORE,CA,94551-9300,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-004590,NON-PROFIT CORPORATION,Non Profit Organizations,CIVICORPS,624110 - Child and Youth Services,N,37,Corporation,CIVICORPS,101 MYRTLE ST,,OAKLAND,CA,94607-2543,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-006691,ROOFING,Construction or Contractor,STONERIDGE ROOFING,238160 - Roofing Contractors,C,4,Partnership,,PO BOX 21325,,SAN JOSE,CA,95151-1325,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
054 176500200,Yes,Yes,BL-052816,SOFTWARE DEVELOPMENT,Professional SemiProfessional,ENUMA INC,561990 - All Other Support Services,P,18,Corporation,ENUMA INC,2600 NINTH ST,,BERKELEY,CA,94710,Business Owner,2600 NINTH ST,BERKELEY,CA,94710,"2600 NINTH ST
BERKELEY, CA 94710
(37.858892, -122.29127)"
ZZZZZZZZZZZZZ,,,BL-011255,CONSTRUCTION,Construction or Contractor,EF CONSTRUCTION INC,236118 - Residential Remodelers,C,10,Corporation,,851 TRESTLE GLEN RD,,OAKLAND,CA,94610-2317,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-015944,ART CLASSES,Professional SemiProfessional,CARNEVALE MARIA,611610 - Fine Arts Schools,P,0,Sole Ownership,CARNEVALE MARIA,1689 SCENIC AVE,,BERKELEY,CA,94709,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
062 287202500,Yes,No,BL-044259,RESTUARANT MEXICAN,Retail Trade,TAQUERIA TALAVERA,722211,R,8,Corporation,,1805 SAN PABLO AVE,,BERKELEY,CA,94702-1623,Business Owner,1561   SOLANO AVE,BERKELEY,CA,94707,"1561 SOLANO AVE
BERKELEY, CA 94707
(37.891027, -122.285625)"
ZZZZZZZZZZZZZ,,,BL-011108,INSTALLATION OF CABINETS,Construction or Contractor,BAY AREA CABINETRY INC,238990 - All Other Specialty Trade Contractors,C,7,Corporation,,1616 6TH ST STE A,,SAN FRANCISCO,CA,94103,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-014345,GENERAL CONTRACTOR,Construction or Contractor,GY CONSTRUCTION,236118 - Residential Remodelers,C,14,Sole Ownership,,918 BLOSSOM DR,,BRENTWOOD,CA,94513-6144,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-030995,ROOFING CONTR,Construction or Contractor,ADVANCED ROOFING SERVICES INC,238160 - Roofing Contractors,C,6,Corporation,,1450 VIKING ST,,ALAMEDA,CA,94501,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-015260,PLUMBING,Construction or Contractor,A-1 AID PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2,LLC,,981 GARCIA AVE STE B,,PITTSBURG,CA,94565-5040,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-011789,ROOFING CONTRATOR,Construction or Contractor,MC ROOFING,238160 - Roofing Contractors,C,2,Sole Ownership,MCF ROOFING,18928 THORNBURY AVE,,CASTRO VALLEY,CA,94546-3141,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-053520,TWO WAY RADIO SALES/SERVICE,Business Personal Repair Svs,DAY WIRELESS SYSTEMS,517212,B,1,Corporation,DAY WIRELESS SYSTEMS,PO BOX 22169,,PORTLAND,OR,97269-2169,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, OR 94704"
ZZZZZZZZZZZZZ,,,BL-016489,ROOFING CONTRACTOR,Construction or Contractor,ROOF SOLUTIONS INC,238160 - Roofing Contractors,C,4,Corporation,,4599 PACE LN,,VACAVILLE,CA,95688-9642,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
053 164400701,No,No,BL-043837,BIO-TECHNOLOGY R&D,Professional SemiProfessional,SIEMENS HEALTHCARE DIAGNOSTICS,541710,P,25,Corporation,SIEMENS HEALTHCARE DIAGNOSTICS,PO BOX 80600,,INDIANAPOLIS,IN,46280-0600,Business Owner,725   POTTER ST,BERKELEY,CA,94710,"725 POTTER ST
BERKELEY, IN 94710
(37.850865, -122.294363)"
055 187701300,No,No,BL-044072,RESTAURANT,Retail Trade,CHIPOTLE MEXICAN GRILL #697,722211,R,24,Corporation,,PO BOX 182566,,COLUMBUS,OH,43218-2566,Business Owner,2311   TELEGRAPH AVE,BERKELEY,CA,94704,"2311 TELEGRAPH AVE
BERKELEY, OH 94704
(37.868365, -122.259113)"
ZZZZZZZZZZZZZ,,,BL-011134,GENERAL BUILDING CONTRACTOR,Construction or Contractor,DEVCO BUILDING ENTERPRISES LLC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,5,LLC,,2678 N MAIN ST STE 23,,WALNUT CREEK,CA,94597-2733,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-035844,STREET ARTIST,Street Vendors,LAZO MARCO ANTONIO,,,1,Sole Ownership,,940 35TH STREET,,RICHMOND,CA,94805,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-016532,6 PACK CHARTER BOAT (FISHING),Entertainment Recreation,GOLDEN STATE SPORTFISHING,713930 - Marinas,E,1,LLC,,1244 NEWCASTLE CT,,TRACY,CA,95376-8336,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-044249,COMPUTER SERVICE,Professional SemiProfessional,NETFILE INC,541511 - Custom Computer Programming Services,P,0,Corporation,NETFILE INC,PO BOX 70,,AHWAHNEE,CA,93601,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-016504,RES CONSTRUCTION,Construction or Contractor,EAST BAKER CONSTRUCTION,236118 - Residential Remodelers,C,3,Corporation,,1301 BLAKE ST,,BERKELEY,CA,94702-2113,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-007251,RESIDENTIAL REMODELING,Construction or Contractor,CERULEAN CONSTRUCTION INC,236118 - Residential Remodelers,C,7,Corporation,,4159 GREGORY ST,,OAKLAND,CA,94619-2236,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-030275,GENERAL CONTRACTOR,Construction or Contractor,MARVIN COLLINS CONSTRUCTION,236118 - Residential Remodelers,C,20,Sole Ownership,,226 LINUS PAULING DR STE A,,HERCULES,CA,94547,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-044164,GENERAL CONTRACTOR,Construction or Contractor,20/20 BUILDERS,236118 - Residential Remodelers,C,8,Corporation,,5510 DOYLE ST,,EMERYVILLE,CA,94608,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-009374,"RE-ROOFING, NEW ROOFS",Construction or Contractor,NEXTGEN ROOFING INC,238160 - Roofing Contractors,C,2,Corporation,,6114 LA SALLE AVE # 643,,OAKLAND,CA,94611-2802,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,Yes,No,BL-006516,TAXI,Auto Vehicle For Hire,A EXPRESS CAB,,,0,Sole Ownership,,961 W MACARTHUR BLVD #G,,EMERYVILLE,CA,94608,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
060 244701600,No,Yes,BL-004662,RESTAURANT,Retail Trade,FATAPPLE'S INC,722110,R,10,Corporation,FATAPPLE'S INC,1346 M L KING JR WAY,,BERKELEY,CA,94709,Business Owner,1346   M L KING JR WAY,BERKELEY,CA,94709,"1346 M L KING JR WAY
BERKELEY, CA 94709"
ZZZZZZZZZZZZZ,,,BL-015044,ENVIRONMENTAL CONSULTING,Professional SemiProfessional,ODIC ENVIRONMENTAL,541620 - Environmental Consulting Services,P,11,Corporation,,407 W IMPERIAL HWY STE H303,,BREA,CA,92821-4832,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-029741,GENERAL CONTRACTOR,Construction or Contractor,MN BUILDERS,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,93,Corporation,,2400 UNION ST,,OAKLAND,CA,94607,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-019942,CONTRACTOR,Construction or Contractor,KAUFMAN CONSTRUCTION INC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,6,Corporation,,60 RICHARDSON RD,,KENSINGTON,CA,94707-1249,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-002053,GENERAL CONTRACTOR,Construction or Contractor,TOTAL WORKS CORP,236118 - Residential Remodelers,C,4,Corporation,,130 DOOLITTLE DR STE 15,,SAN LEANDRO,CA,94577-1033,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-002205,PLUMBING CONTRACTOR,Construction or Contractor,P J PLUMBING CO,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2,Sole Ownership,,10415 BYRON AVE,,OAKLAND,CA,94603-3421,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-016161,"CUSTOM WOOD, METAL AND COMPOSITE FABRICATION AND INSTALLATION",Construction or Contractor,DEKA,238990 - All Other Specialty Trade Contractors,C,8,LLC,,PO BOX 16007,,OAKLAND,CA,94610-6007,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-003976,DESIGN & CONSTRUCTION,Construction or Contractor,GORDON & COMPANY,236118 - Residential Remodelers,C,4,Sole Ownership,,5643 MERRIEWOOD SR,,OAKLAND,CA,94611,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-014970,GENERAL CONTRACTOR,Construction or Contractor,EDRI CONSTRUCTION INC,236118 - Residential Remodelers,C,5,Corporation,,112 GROVER LN,,WALNUT CREEK,CA,94596-6309,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-034534,EDUCATION & TRAINING,Construction or Contractor,RISING SUN CENTER FOR OPPORTUNITY,611710 - Educational Support Services,C,120,Corporation,,1116 36TH ST,,OAKLAND,CA,94608,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,Yes,No,BL-053764,ROOFING CONTRACTOR,Construction or Contractor,BERKELEY ROOF SERVICES INC,238160 - Roofing Contractors,C,5,Corporation,Berkeley Roof Service,2700 E 7TH ST,,OAKLAND,CA,94601,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-045211,INSTALLATION NEON SIGNS CONTRACTOR,Construction or Contractor,"RAGO NEON, INC.",238990 - All Other Specialty Trade Contractors,C,2,Corporation,,235 LAUREL AVE,,HAYWARD,CA,94541-3822,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,No,Yes,BL-050608,CONTRACT DINING SERVICES,Retail Trade,EPICUREAN FEDERAL INC,722310 - Food Service Contractors,R,1,Corporation,EPICUREAN FEDERAL INC,111 MAIN ST STE 3,,LOS ALTOS,CA,94022-2914,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
062 287202500,No,No,BL-042035,GENERAL CONTRACTOR,Construction or Contractor,FERARU & ASSOCIATES,236118 - Residential Remodelers,C,3,Corporation,,1569 SOLANO AVE #249,,BERKELEY,CA,94707,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-027319,RENTAL SERVICES,Construction or Contractor,NATIONAL RENT-A-FENCE,238990 - All Other Specialty Trade Contractors,C,2,Corporation,,15319 CHATSWORTH ST,,MISSION HILLS,CA,91345-2040,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,Yes,No,BL-041955,TAXI COMPANY-VEHICLE FOR HIRE,Auto Vehicle For Hire,CHECKER CAB,485310 - Taxi Service,A,2,Sole Ownership,,2016 BLAKE ST APT 3,,BERKELEY,CA,94704-2621,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-007916,GERNERAL CONSTRUCTION,Construction or Contractor,ROD HEISLER CONSTRUCTION,236118 - Residential Remodelers,C,13,Corporation,,1853 MACARTHUR BLVD,,OAKLAND,CA,94602-1715,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,Yes,No,BL-018272,ROOFING CONTRACTOR,Construction or Contractor,WESTCO ROOFING CO,238160 - Roofing Contractors,C,5,Corporation,,2700 E 7TH ST,,OAKLAND,CA,94601,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,No,No,BL-054216,ROOFING CONTRACTOR,Construction or Contractor,PACIFIC COAST ROOFING SERVICE,238160 - Roofing Contractors,C,8,Corporation,,236 KENTUCKY STREET,,VALLEJO,CA,94590,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-015504,PLUMBING & ELECTRICAL CONTRACTOR,Construction or Contractor,AMERICAN POWER SOLUTIONS INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,30,Corporation,,14355 INDUSTRY CIR,,LA MIRADA,CA,90638,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-003893,ROOFING CONTRACTOR,Construction or Contractor,ASTRO ROOFING INC,238160 - Roofing Contractors,C,4,Corporation,,9230 KIEFER BLVD #1,,SACRAMENTO,CA,95826,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-014576,PAVEMENT MARKING SERVICES,Construction or Contractor,LINEAR TECH STRIPING,238990 - All Other Specialty Trade Contractors,C,3,Sole Ownership,,1140 PALM ST,,SAN JOSE,CA,95110-3325,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-014248,PLUMBING CONTRACTOR,Construction or Contractor,ALL PRO REPIPE INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,6,Corporation,,2684 PACER LN,,SAN JOSE,CA,95111-2010,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,,,BL-013701,RES PEST CONTROL SERVICE,Business Personal Repair Svs,APTIVE ENVIRONMENTAL LLC,561710 - Exterminating and Pest Control Services,B,15,LLC,APTIVE ENVIRONMENTAL LLC,5132 N 300 W STE 150,,PROVO,UT,84604-5819,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, UT 94704"
ZZZZZZZZZZZZZ,,,BL-009571,ROOFING,Construction or Contractor,CLEAN ROOFING,238160 - Roofing Contractors,C,6,Corporation,,1445 KOLL CIR SUITE #109,,SAN JOSE,CA,95112,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
060 244800100,,,BL-015076,"HOMEWARES, DECOR & ACCESSORIES E-COMMERCE ONILE",Retail Trade,DETALJ,442299 - All Other Home Furnishings Stores,R,0,LLC,DETALJ,1332 4TH ST. STE A,,BERKELEY,CA,94710,Business Owner,1900 BERRYMAN ST,BERKELEY,CA,94709,"1900 BERRYMAN ST
BERKELEY, CA 94709
(37.883298, -122.274045)"
ZZZZZZZZZZZZZ,No,No,BL-023992,DRYWALL CONTRACTOR,Construction or Contractor,BOYETT CONSTRUCTION INC,238310 - Drywall and Insulation Contractors,C,115,Corporation,,2404 TRIPALDI WAY,,HAYWARD,CA,94545-5017,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
ZZZZZZZZZZZZZ,,,BL-007878,ROOFING CONTRACTOR,Construction or Contractor,LIFETIME ROOFING SERVICE INC,238160 - Roofing Contractors,C,2,Corporation,,128 OAKES BLVD,,SAN LEANDRO,CA,94577-2827,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
062 290001400,No,Yes,BL-053597,TRAVEL AGENCIES,Business Personal Repair Svs,VARYA TOURS & TRAVEL,561510 - Travel Agencies,B,1,Sole Ownership,,1800 YOSEMITE RD,,BERKELEY,CA,94707-1605,Business Owner,1800   YOSEMITE RD,BERKELEY,CA,94707,"1800 YOSEMITE RD
BERKELEY, CA 94707
(37.896776, -122.281277)"
ZZZZZZZZZZZZZ,,,BL-015154,PLUMBING,Construction or Contractor,STEPHEN CARROZZI PLUMBING CO,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2,Sole Ownership,,1990 WOOD RD,,FULTON,CA,95439-8837,Business Owner,0 VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
,No,No,BL-023455,PLUMBING CONTRACTOR,Construction or Contractor,CRITCHFIELD MECHANICAL INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0,Corporation,,1901 JUNCTION AVE,,SAN JOSE,CA,95131-2103,Business Owner,0   VARIOUS,BERKELEY,CA,94704,"0 VARIOUS
BERKELEY, CA 94704"
